surl,,sname,map_x,map_y,map_info,en_sname,alias,address,pic_url,full_url
yiheyuan,颐和园,12943800.16,4837998.23,116.274870018,39.998475042737,Summer Palace,null,北京市海淀区新建宫门路19号,ac2fc3c4cc25a79338db49fc,http://f.hiphotos.baidu.com/lvpics/w%3D300/sign=a7d60bade0fe9925cb0c6f5004a95ee4/ac2fc3c4cc25a79338db49fc.jpg
badalingchangcheng,八达岭长城,12912532.4,4888779.29,115.99399000707,40.348417069259,null,null,北京市延庆县军都山关沟古道北口,d1a20cf431adcbefd03a864cacaf2edda3cc9f6a,http://g.hiphotos.baidu.com/lvpics/w%3D300/sign=cd503b5e6b600c33f079d8c82a4d5134/d1a20cf431adcbefd03a864cacaf2edda3cc9f6a.jpg
tiananmen,天安门,12958161.09,4825948.92,116.40387504347,39.915174081892,null,天安门城楼,北京市东城区天安门广场北侧,ac2fc3c4d81bbb9338db493e,http://b.hiphotos.baidu.com/lvpics/w%3D300/sign=b3e817ade0fe9925cb0c6f5004a95ee4/ac2fc3c4d81bbb9338db493e.jpg
houhai,后海,12957097,4830759.5,116.39431626437,39.948443515889,null,什刹海,北京市西城区,29752a9b5d7fb9dec9eaf495,http://g.hiphotos.baidu.com/lvpics/w%3D300/sign=d94543e087d6277fe912343818391f63/29752a9b5d7fb9dec9eaf495.jpg
tiantan,天坛,12959657.01,4822018.13,116.41731297525,39.887977077342,null,null,北京市东城区天坛内东里7号,d058ccbf6c81800a2e79c8bfb13533fa838b47e6,http://h.hiphotos.baidu.com/lvpics/w%3D300/sign=8faf0f6d54e736d158138a08ab514ffc/d058ccbf6c81800a2e79c8bfb13533fa838b47e6.jpg
yuanmingyuan,圆明园,12948223.71,4840577.06,116.31460701138,40.016290079172,null,null,北京市海淀区清华西路28号,d1e312f41474f3b77709d716,http://f.hiphotos.baidu.com/lvpics/w%3D300/sign=2d236965269759ee4a5066cb82fa434e/d1e312f41474f3b77709d716.jpg
niaochao,鸟巢,12957966.94,4838139.64,116.40213098332,39.999452050709,National Stadium,国家体育场,北京市朝阳区安定路甲3号,8367d1fcab9cbddab801a041,http://f.hiphotos.baidu.com/lvpics/w%3D300/sign=c5440c9f9f3df8dca63d8991fd1072bf/8367d1fcab9cbddab801a041.jpg
xiangshan,香山,12935061.71,4837720.6401711,116.19637204016,39.996557051025,Fragrance Hill,香山公园,北京市海淀区西北郊小西山山脉东麓,6398ecd38c6d2687a9ec9abf,http://d.hiphotos.baidu.com/lvpics/w%3D300/sign=451038eb0f2442a7ae0efba5e142ad95/6398ecd38c6d2687a9ec9abf.jpg
798yishuqu,798艺术区,12969063.5,4836735.49,116.50181199322,39.989750091316,Dashanzi Art District,北京798艺术区,北京市朝阳区酒仙桥路4号798艺术区,d058ccbf6c81800ae41b12c6b13533fa838b4778,http://f.hiphotos.baidu.com/lvpics/w%3D300/sign=45cdd51454e736d158138a08ab524ffc/d058ccbf6c81800ae41b12c6b13533fa838b4778.jpg
nanluoguxiang,南锣鼓巷,12958785.70562,4830464.539992,116.409486,39.946404,null,null,北京市 东城区南锣鼓巷胡同,c9d4cf4332ebe94b72f05d5d,http://h.hiphotos.baidu.com/lvpics/w%3D300/sign=f321b85219d8bc3ec60800cab28aa6c8/c9d4cf4332ebe94b72f05d5d.jpg
beihaigongyuan,北海公园,12957322.36,4829445.21,116.39634068567,39.939355651362,null,null,北京市西城区文津街1号,fc5e5f34fe200716251f14a7,http://b.hiphotos.baidu.com/lvpics/w%3D300/sign=a2c541514b36acaf59e090fc4cd98d03/fc5e5f34fe200716251f14a7.jpg
tiananmenguangchang,天安门广场,12958176.67,4825596.35,116.40401499947,39.912735106081,null,null,北京市东城区西长安街,507c3897be420a3554fb9622,http://h.hiphotos.baidu.com/lvpics/w%3D300/sign=43a37ca3fbedab6474724bc0c737af81/507c3897be420a3554fb9622.jpg
beijingdongwuyuan,北京动物园,12951336.46,4830575.03,116.34256901614,39.947168042521,null,null,北京市 西城区西直门外大街137号,5af4d7ea1ea00e8bd439c963,http://d.hiphotos.baidu.com/lvpics/w%3D300/sign=2c11a67707082838680dda148898a964/5af4d7ea1ea00e8bd439c963.jpg
shijiegongyuan,世界公园,12945896.33,4811731.98,116.2937000286,39.816756065599,null,null,北京市丰台区花乡丰葆路158号,906289ddb81d936c5982dd96,http://b.hiphotos.baidu.com/lvpics/w%3D300/sign=934a5d7f62d0f703e6b293dc38fb5148/906289ddb81d936c5982dd96.jpg
gongwangfu,恭王府,12956961.27,4829877.23,116.3930969943,39.942343055716,Prince Gong’s Mansion,恭王府花园,北京市西城区什刹海前海西街17号（近定阜街）,a5c27d1ed21b0ef4a8b18d11dcc451da81cb3e27,http://d.hiphotos.baidu.com/lvpics/w%3D300/sign=2fe6f127cdbf6c81f7372ae88c3fb1d7/a5c27d1ed21b0ef4a8b18d11dcc451da81cb3e27.jpg
qinghuadaxue,清华大学,12949756.26,4838576.47,116.32837399248,40.002470039593,Tsinghua University,null,北京市海淀区中关村北大街,b8389b504fc2d5626563432ce71190ef77c66c8c,http://a.hiphotos.baidu.com/lvpics/w%3D300/sign=d68573c8b6003af34dbada60052bc619/b8389b504fc2d5626563432ce71190ef77c66c8c.jpg
beijingdaxue,北京大学,12948398.37,4837892.14,116.31617599179,39.997742052964,null,null,北京市海淀区颐和园路5号,834344af050470a3fbed50c0,http://b.hiphotos.baidu.com/lvpics/w%3D300/sign=92f1b9d3a61ea8d38a227204a70a30cf/834344af050470a3fbed50c0.jpg
huairou,怀柔,12983164.048797,4885710.9274876,116.628478,40.327324,Huairou,null,null,814b07d8f685ff5f32fa1c02,http://c.hiphotos.baidu.com/lvpics/w%3D300/sign=dd66ef2ead345982c58ae3923cf5310b/814b07d8f685ff5f32fa1c02.jpg
